Course_Code,Requirement,Level,Required_Level,Weight,Actual_Weight,Lab_Weight,Total_Weight,Days_Opt1,Days_Opt2,Normal,Added,Added_Courses,Lab_location,#Normal_Sec,#Groups
101Cs,NaN,1,NaN,3,2,2,4,2,2,94,0,0,NaN,5,2
100Math,NaN,1,NaN,3,3,0,3,3,2,144,0,0,NaN,8,4
101Islam,NaN,1,NaN,2,2,0,2,2,2,94,0,0,NaN,5,2
103Eng,NaN,1,NaN,6,15,0,15,5,3,103,0,0,NaN,6,3
102Math,100Math,2,1,3,3,0,3,3,2,477,0,0,NaN,24,12
102Islam,NaN,2,NaN,2,2,0,2,2,2,341,0,15,NaN,18,9
011Cs,NaN,2,NaN,3,2,2,4,2,2,406,0,16,NaN,21,10
104Eng,103Eng,2,1,6,15,0,15,5,3,368,0,3,NaN,19,9
103Islam,NaN,3,NaN,2,2,0,2,2,2,141,0,354,NaN,8,4
112Cs,011Cs,3,NaN,3,2,2,4,2,2,171,0,2,NaN,9,4
101Arb,NaN,3,NaN,2,2,0,2,2,2,99,0,354,NaN,5,2
201Ph,NaN,3,NaN,3,3,2,5,3,2,187,0,377,NaN,10,5
111Is,NaN,3,NaN,3,3,2,5,3,2,147,0,382,NaN,8,4
201Math,100Math,4,1,3,3,0,3,3,2,282,0,477,NaN,15,7
206Math,102Math,4,2,3,3,0,3,3,2,199,0,85,NaN,10,5
104Islam,NaN,4,NaN,2,2,0,2,2,2,195,0,465,NaN,10,5
114Cs,NaN,4,NaN,3,2,2,4,2,2,73,0,180,NaN,4,2
151Cs,NaN,4,NaN,3,2,2,4,2,2,82,0,171,NaN,5,2
102Arb,NaN,4,NaN,2,2,0,2,2,2,189,0,452,NaN,10,5
213Net,NaN,5,NaN,3,2,2,4,2,2,48,0,222,NaN,3,1
213Cs,112Cs,5,3,3,2,2,4,2,2,51,0,147,NaN,3,1
221Cs,NaN,5,NaN,3,2,2,4,2,2,76,0,225,NaN,4,2
252Cs,NaN,5,NaN,3,2,2,4,2,2,33,0,114,NaN,2,1
221Is,111Is,5,3,3,2,2,4,2,2,38,0,165,NaN,2,1
111Net,NaN,6,NaN,3,2,2,4,2,2,115,0,219,NaN,6,3
222Cs,221Cs,6,5,3,2,2,4,2,2,32,0,2,NaN,2,1
231Cs,NaN,6,NaN,3,2,2,4,2,2,91,0,167,NaN,5,2
241Cs,NaN,6,NaN,3,2,2,4,2,2,51,0,82,NaN,3,1
241Is,NaN,6,NaN,3,2,2,4,2,2,86,0,165,NaN,5,2
315Net,213Net,7,5,3,2,2,4,2,2,51,0,52,NaN,3,1
331Net,NaN,7,NaN,3,2,2,4,2,2,56,0,81,NaN,3,1
323Cs,222Cs,7,6,3,2,2,4,2,2,24,0,1,NaN,2,1
324Cs,NaN,7,NaN,3,2,2,4,2,2,29,0,40,NaN,2,1
311Cs,NaN,7,NaN,3,2,2,4,2,2,32,0,18,NaN,2,1
332Cs,NaN,8,NaN,3,2,2,4,2,2,23,0,34,NaN,2,1
336Cs,NaN,8,NaN,3,2,2,4,2,2,9,0,33,NaN,1,0
390Cs,NaN,8,NaN,3,2,2,4,2,2,18,0,27,NaN,1,0
323Is,221Is,8,5,3,2,2,4,2,2,18,0,53,NaN,1,0
334Is,NaN,8,NaN,3,2,2,4,2,2,65,0,99,NaN,4,2
336Is,NaN,8,NaN,3,3,2,5,3,2,58,0,97,NaN,3,1
426Net,NaN,9,NaN,3,2,2,4,2,2,12,0,17,NaN,1,0
411Cs,NaN,9,NaN,3,2,2,4,2,2,10,0,18,NaN,1,0
433Is,NaN,9,NaN,3,2,2,4,2,2,18,0,29,NaN,1,0
443Is,NaN,9,NaN,3,2,2,4,2,2,19,0,29,NaN,1,0
433Cs,NaN,10,NaN,3,2,2,4,2,2,12,0,3,NaN,1,0
442Cs,241Cs,10,6,3,2,2,4,2,2,14,0,4,NaN,1,0
495Cs,NaN,10,NaN,3,0,0,0,0,0,16,0,4,NaN,1,0
452Is,NaN,10,NaN,3,3,2,5,3,2,48,0,35,NaN,3,1
