ID,Location,Type
L1,G099,Lab
L2,G102,Lab
L3,G107,Lab
L4,G113,Lab
L5,G153,Lab
L6,G156,Lab
L7,G161,Lab
L8,G167,Lab
L9,G177,Lab
L10,G180,Lab
L11,G188,Lab
L12,G194,Lab
L13,F103,Lab
L14,F090,Lab
L15,F155,Lab
L16,F158,Lab
L17,F163,Lab
CR1,F074,Classroom
CR2,F075,Classroom
CR3,F076,Classroom
CR4,F077,Classroom
CR5,F078,Classroom
CR6,F079,Classroom
CR7,F080,Classroom
CR8,F081,Classroom
CR9,F082,Classroom
CR10,F083,Classroom
CR11,F088,Classroom
CR12,F095,Classroom
CR13,F100,Classroom
CR14,F101,Classroom
CR15,F108,Classroom
CR16,F109,Classroom
CR17,F114,Classroom
CR18,F116,Classroom
CR19,F117,Classroom
CR20,F119,Classroom
CR21,F121,Classroom
CR22,F126,Classroom
CR23,F127,Classroom
CR24,F134,Classroom
CR25,F135,Classroom
CR26,F140,Classroom
CR27,F152,Classroom
CR28,F153,Classroom
CR29,F160,Classroom
CR30,F161,Classroom
CR31,F166,Classroom
CR32,F171,Classroom
CR33,F174,Classroom
CR34,F175,Classroom
CR35,F178,Classroom
CR36,F179,Classroom
CR37,F182,Classroom
CR38,F187,Classroom
CR39,F191,Classroom
